A0AAW9N683	A0AAW9N683
A0AAW9N683	A0A133CW95
A0AAW9N683	A0A1B5FWY8
A0AAW9N683	A0A1X3AM14
A0AAW9N683	A0A7H0FPP8
A0AAW9N683	A0AAJ1XWA7
A0AAW9N683	A0AAJ1XYV9
A0AAW9N683	A0AAW8RLS1
A0AAW9N683	A0AAW8SWJ3
A0AAW9N683	A0AAW8T2S1
A0AAW9N683	A0AAW8THB1
A0AAW9N683	A0AAE4I2Z6
A0AAW9N683	A0AAW8TWS5
A0AAW9N683	A0ABD4HI16
A0AAW9N683	A0ABD4ZVR2
A0AAW9N683	A0ABD5F6V9
A0AAW9N683	A0ABD6YZG7
A0AAW9N683	A0ABD7XI14
A0AAW9N683	A0AAE7MMV1
A0AAW9N683	A0AAW8T0R1
D0UFB3	D0UFB3
D0UFB6	D0UFB6
D0UFC0	D0UFC0
A0A0Q9YV65	A0A0Q9YV65
A0A6B9V1Q1	A0A6B9V1Q1
A0A6B9V1Q1	A0A6B9UZK7
A0A6B9V1Q1	A0A6B9UZU7
A0A6B9V1Q1	A0A6B9V0P8
A0A6B9V1R6	A0A6B9V1R6
A0A6B9V1T1	A0A6B9V1T1
A0A6B9V1V4	A0A6B9V1V4
A0A6B9V1V6	A0A6B9V1V6
A0A6B9V1Z3	A0A6B9V1Z3
A0A6B9V1Z3	A0A6B9UZU6
A0A6B9V209	A0A6B9V209
A0A6B9V210	A0A6B9V210
A0A6B9V243	A0A6B9V243
A0A6B9V2H0	A0A6B9V2H0
A0A6B9V2L8	A0A6B9V2L8
A0A6C0L714	A0A6C0L714
A0A6C0L730	A0A6C0L730
A0A6C0L7F4	A0A6C0L7F4
A0A6C0L8I7	A0A6C0L8I7
A0A6C0L8I7	A0A6B9V0D3
A0A6D1TNM6	A0A6D1TNM6
A0A6D1TNN6	A0A6D1TNN6
A0A6D1TNN7	A0A6D1TNN7
A0A6D1TTG5	A0A6D1TTG5
A0A6D1TTU4	A0A6D1TTU4
A0A6D1TUP6	A0A6D1TUP6
A0A7H0FLU4	A0A7H0FLU4
A0A7H0FLU4	A0AAP6RGE3
